,Exp_PC1,Exp_PC2,Exp_PC3,Exp_PC4,Exp_PC5
s001,1.3422624549409645,1.6807543966679412,-1.9724374060824326,-2.428667708622079,-1.8390365957107473
s002,2.2745891751039284,-0.9370268764602645,2.085718102303841,2.6732577165673583,-0.8966859659097132
s003,-1.008451420863224,3.3385975493627345,1.5087859789175235,-1.0385461462103993,0.46082328723947774
s004,0.5992218823777933,2.843601524551275,0.7939592197023547,1.0902930740168983,-0.876814492738048
s005,-0.24239216162199012,0.05697838129324765,-1.8119016008717634,1.2026085088115332,-3.7808510718493733
s006,-1.010489113991069,0.04301815991747609,-1.1360447503925901,-2.437677160724245,-1.6133052669498722
s007,-3.6947145653761786,0.8844268387421148,1.1760409159204537,1.1367021571694091,1.5055978829670427
s008,-1.9131396912947913,-2.639751712203141,-0.679428426608641,2.0861569328255256,0.59158602604703
s009,-1.9163921668849877,2.60994709075329,-0.9695436828526317,-2.539214781029269,-0.4314104939502422
s010,-2.3481229470989735,1.786022661880607,-2.130276751398782,-0.3866056602009885,-1.943038228552709
s011,-2.966409081555898,0.8979305752271349,-2.8154698070601145,1.9604210607778931,-0.7446086542595748
s012,4.114381751347709,2.0799349404936516,-0.5086949230904079,0.730212754657581,-0.5969145889271696
s013,0.2907661532882825,2.398356556924649,1.1927926441943486,2.3784596867398284,-0.27214772931817033
s014,2.6356722712154608,-1.2891077908066177,-1.727755089417178,0.708533673000881,1.668066747361899
s015,-2.1639483224884213,-0.2515292839680687,2.380601778563932,-2.5106754369151627,1.1557330552273308
s016,-0.7418201901378281,1.061100052622775,-0.8834186143322257,0.13816505021655429,0.8646562381243098
s017,0.14898956249325282,-2.0497638962655005,-3.1526169016864705,-0.2109036539792775,-0.13064461006493686
s018,1.9132130702036592,-2.1090485283606464,-1.93122724993669,0.3711582698540472,1.1118574715329987
s019,0.2428562976637199,0.9198131208149752,-2.3246201918171936,-2.6242193388214146,-2.2631094544809893
s020,-2.7054053064182217,-0.8019056912110241,2.095696550186999,-0.04403549632334931,1.0074161749965185
s021,-1.0504134921845438,-0.7399801365848495,2.3289330087643694,1.1126932343005207,-0.2947764746743551
s022,0.6117317683947185,-0.6955933304161057,-2.199402962593526,1.9468864602263558,0.3138653380855653
s023,1.7347851210882639,-0.8252369688900264,2.1210491031103684,-1.714281623501389,-1.4144409612651667
s024,-3.312205642837093,1.7888384892730613,0.054323909224200134,-2.6629013807318627,-0.11052807712405462
s025,1.0728033225504934,-1.4755750029261956,1.8387578697659175,-0.9076738178543619,-1.4420621402915106
s026,1.7394726039809318,-3.5016520008369523,-0.6164392082188955,-1.6326762601812346,-0.6334924654724985
s027,-1.3717942179889242,2.9511388125034883,0.15790128568113543,2.1741397075927056,-2.2416136438801657
s028,0.6253782525980688,-2.820098556240287,1.5225644859385488,-0.5380918678195723,-0.8641518684599787
s029,-1.9030788826706828,-1.0072009962925175,1.133960685061961,-0.9734565729964781,-0.8957285898398901
s030,-0.12820140705327412,2.3900931681724886,-0.23798233654575718,-2.714510117094202,-1.6938997627898076
s031,-2.13893709704807,-0.5763595883012068,-0.2312729498883959,-2.0607241298638828,-0.0157650203971134
s032,-2.405752675940659,0.13710684973051498,2.6405618457575737,1.1294659626297916,1.1096374598051857
s033,1.1203867604940936,-0.010381137639207732,-1.136617561912837,-0.6558020748489511,2.189805442970159
s034,-3.170111072866761,-0.43915229578970666,-0.07109544377060927,-0.48543018268119026,-0.6328125925750416
s035,-1.3703479743818214,0.09464934827211781,0.04221982969444979,-0.7179736605736526,3.6093650773204593
s036,2.8880617732519007,0.8210344591478442,0.9443026019419879,2.122123506970142,2.0923931181220556
s037,-1.5498925760411983,1.7543833465609764,-0.7749367097689395,3.415737651665235,0.7377424771207622
s038,-1.146799054822773,-1.5251155460569965,-0.8519546984362252,0.7846815909422642,1.675038611180096
s039,0.6809215124876189,3.068576708582801,-1.893840357588439,-0.11506365516149515,-2.8574955207368475
s040,-3.15592299794114,1.32594165485351,0.35974972797592053,2.0026454716738664,1.1671083568165472
s041,-3.2151091153787985,-2.2071208929810626,2.1390494007243035,0.6442499167645,1.780212456094463
s042,1.3375716135714266,-1.4743385645989882,-0.8212179451589745,-0.7944333740119125,-0.7217913597276682
s043,1.1693478000493736,-3.8672034568234515,0.2772390097328303,-1.014815765472491,-0.6442699904344509
s044,0.6083457004087224,-1.7246902525805106,0.7877363049987868,3.114449866688099,-0.2882729731183373
s045,0.5863235641773675,3.724174962571996,1.0633498678743112,2.1727827973524407,0.3700295479377069
s046,-1.8993199532705471,-0.2796497976825975,-2.603693665503102,0.5261025368584541,-2.2533057325621004
s047,0.3763959612191137,-0.7757592818509143,0.9767427158535862,-0.38661034760925284,-2.9069265590150395
s048,-2.8438530208516815,-1.7247883130462962,0.3356334483166255,2.164657513298854,0.44818541258309846
s049,-0.3558157744258346,0.40833594754711583,-0.05348798374769295,0.343674916779993,-0.577358849317129
s050,1.75092348333148,-2.9990001025786523,0.4806632983455427,-1.6995575187226835,-0.9409047140567808
s051,1.5716188200934458,-2.332445462800859,-2.960223665581517,-0.32636080812546464,0.5497939326963333
s052,3.1374927554870244,-0.1232512424881316,2.1779666660900783,-1.6564212616124618,-0.131965565199475
s053,-2.697522896869209,2.7845851414659197,0.5153849069040936,1.5138986399030663,-0.6490071897758023
s054,-2.0823131326136006,0.018396590773834095,1.8578506313659864,-1.4398881907674776,1.7525933338911208
s055,1.6675796959481326,-0.09166880541279804,0.2565362239863036,1.6689751235810464,-0.5232125494421629
s056,2.998631566584817,0.49855562148451,-2.2391220902340585,0.590814174714224,1.3851747921168702
s057,-1.8559715077364662,0.6559336478770013,0.7472193852189942,-0.8438426402750184,-1.3328705944193435
s058,-1.1487037449750832,-1.9507735371309929,2.3793013313688216,1.1042031380879016,-0.37808754365280534
s059,-0.7995179870797854,-0.7918811329909249,0.21207312019874727,-1.5840311340516153,-3.2107478714535103
s060,3.4880137963590645,1.5068358540157392,2.2372572790800564,1.403256666089122,0.23733799904621145
s061,-3.0104381003256897,-2.8747767950166025,0.7109875891036553,0.48008197854529067,0.13584511429662696
s062,-1.6274991774944605,1.6333113778574304,1.2036013858648005,-2.68700300745633,2.2541565251142903
s063,-0.41622665455977725,-3.338604623947531,1.4245537289848653,-0.122086957142648,-3.278904135508025
s064,1.8886532354958492,2.5533704493226796,1.6557867620037408,-0.12053785195958021,1.7757594418493718
s065,1.2964270461376028,-1.6518151372585799,-0.42955810492227503,-1.1729742040487212,2.540103998761765
s066,3.9176607960673535,0.1322550250538245,2.512390072311031,2.022945109414996,-0.8779224690729435
s067,2.0368539946819877,-0.9808649589231604,2.25424297690814,-0.24589334022832807,-2.354649633105404
s068,-0.5266104707409437,2.4395016451177693,2.136564254079411,2.6719442896532675,-0.5753324725698304
s069,-1.1962464622318052,-1.3364700739207598,1.1280292857795273,-1.9301212104443977,0.49150562410502446
s070,2.482234010683273,-0.2359346378535587,1.0859202275577844,1.118049182635477,-0.7741703351695985
s071,-0.8844042175944088,1.516242644614022,-1.3700819111005134,0.4057133784190917,1.5212299547484949
s072,-2.452116592541055,-2.1543641357691006,-1.329612605067819,3.220471656097719,0.8820157870300456
s073,0.5894632030644079,-1.08910733925152,-2.0668608441045024,-0.9647262626160034,0.9547199957524836
s074,3.344902023509036,1.6101916895258264,-0.29936224558643476,0.15838612236376556,1.214668088537748
s075,0.2406029018025398,-0.9017115213800516,0.511338156793555,2.1001900613805105,0.6813110103597231
s076,-0.44599291793328805,0.11000873020078157,1.024253974811639,-1.2793173464112941,-1.3057871586516512
s077,0.03852517458520514,1.8657622063406598,-2.0723477389580562,-3.5378897568655137,0.382388434986101
s078,0.5691039284163707,0.025675030607765898,-2.3646366565520394,2.121865926128056,0.2710769009603687
s079,0.5079411258701511,-1.5379514823573972,-1.3669534037896438,0.5075075070835188,-1.2492434165381887
s080,-0.1874631029706064,-0.41269981790793225,-2.5303471352974403,1.890230171550159,0.5766490930772443
s081,-0.5898588516394063,0.9295329771061389,-0.9263864121527177,-0.7748686929411773,1.5566515044319826
s082,2.125882196147053,1.3588735562423473,0.9683393131393787,-0.23959438360193017,0.7134673549462373
s083,-0.5220107844122643,-1.63714442515863,-3.528332405497343,-1.5760787662434044,0.49004797341067036
s084,1.7415915090740899,-0.439730086774708,-1.802921983521192,-0.7646499449185348,2.4360952493826384
s085,3.183790381072979,-0.9088710625624594,0.7006960798481473,0.6376945703773225,0.47197353521349233
s086,-0.5914641892573954,-0.23949420050870351,0.4599753871867649,0.7101150514306601,-1.6244408838513504
s087,0.24861526075287724,-0.04030535348054418,-3.2282966599201113,2.6079971459603746,-0.9519813164801474
s088,1.262622995079658,-1.6720989652502298,2.877411109730451,-0.6810233138591839,-2.2487978699917575
s089,-0.4676883045318285,-2.575320938482099,1.601404462545196,0.4108401306906304,1.3709424861758195
s090,1.7067387478914775,2.955237789704898,-0.6237830937755724,-1.744524030459361,0.8043684050001495
s091,-0.12175340041461688,0.6528630810254884,1.6393083414938092,-1.0903669244043592,2.430772588080079
s092,-1.587091881125161,-0.9210346573604423,-2.1407270344412397,0.056809620311611665,1.5281013110655268
s093,-1.195154652870641,-0.9689428792228411,0.8909655785275703,-1.8608459346228925,2.3352774590017225
s094,0.7274677038476195,-1.738231946388863,-1.8489664411420959,-1.2389245109692877,0.8768065685310179
s095,-3.4817992530312347,2.0561079192544494,-0.2168588656328788,-0.3909371281995153,-0.5848004758140952
s096,2.8494058604185057,2.1932292479739703,0.5330674966069159,-0.8332642414630471,1.4269040463786529
s097,2.963572328202589,1.150379586277389,-1.0786696065907178,-0.9244446958249707,2.2721239207860258
s098,0.657184651892828,1.7968122462812135,-1.0737044030942784,1.8257413306294665,-2.140256818213551
s099,2.2711178562643353,0.9297693304588232,0.9341278278692218,-0.8557333085601129,1.2813986107749609
s100,0.23859278471550338,1.2543382359409359,1.9582433817323979,-3.1770934134045907,-0.4500384746823831
